,A,B,C,EPO
0,20,70,1,0.011890861859286367
1,20,70,1,0.011890861859286367
2,70,70,-1,0.012856051601801319
3,100,50,1,0.012883628451587461
4,70,50,2,0.012469975704795338
5,50,20,0,0.0117805544601418
6,70,20,1,0.011890861859286367
7,100,100,-1,0.014262470940894539
8,50,100,1,0.012883628451587461
9,20,70,1,0.011890861859286367
10,70,20,1,0.011890861859286367
11,50,100,1,0.012883628451587461
12,100,20,2,0.012056322958003216
13,100,20,2,0.012056322958003216
14,70,70,-1,0.012856051601801319
15,50,100,1,0.012905138394420652
16,70,100,0,0.013435165447310292
17,20,50,0,0.0117805544601418
18,70,100,0,0.013435165447310292
19,70,50,2,0.012491485647628529
20,20,50,0,0.0117805544601418
21,100,20,2,0.012099342843669597
22,20,70,1,0.011890861859286367
23,20,50,0,0.011802064402974991
24,100,50,1,0.012883628451587461
25,50,20,0,0.0117805544601418
26,100,70,0,0.013435165447310292
27,100,50,1,0.012883628451587461
28,70,20,1,0.011890861859286367
29,100,100,-1,0.014262470940894539
30,100,70,0,0.013435165447310292
31,50,100,1,0.012883628451587461
32,70,20,1,0.011890861859286367
33,50,70,2,0.012469975704795338
34,70,20,1,0.011890861859286367
35,70,100,0,0.013435165447310292
36,20,20,-1,0.01161509336142495
37,100,20,2,0.012056322958003216
38,20,20,-1,0.01161509336142495
39,20,100,2,0.012056322958003216
40,70,70,-1,0.012856051601801319
41,50,20,0,0.0117805544601418
42,50,50,-1,0.012194207206933923
43,100,50,1,0.012883628451587461
44,50,70,2,0.012469975704795338
45,70,100,0,0.013435165447310292
46,50,50,-1,0.012194207206933923
47,20,100,2,0.012056322958003216
48,20,70,1,0.011890861859286367
49,20,20,-1,0.01161509336142495
50,70,70,-1,0.012856051601801319
51,100,20,2,0.012077832900836406
52,20,20,-1,0.01161509336142495
53,50,50,-1,0.012194207206933923
54,50,70,2,0.012469975704795338
55,50,20,0,0.0117805544601418
56,50,20,0,0.0117805544601418
57,70,50,2,0.012469975704795338
58,100,70,0,0.013435165447310292
59,20,100,2,0.012101548991652488
60,70,50,2,0.012469975704795338
61,20,50,0,0.011802064402974991
62,20,100,2,0.012056322958003216
63,70,100,0,0.013435165447310292
64,20,100,2,0.012056322958003216
65,70,50,2,0.012469975704795338
66,100,70,0,0.013435165447310292
67,20,50,0,0.0117805544601418
68,20,20,-1,0.01161509336142495
69,70,70,-1,0.012856051601801319
70,100,100,-1,0.014262470940894539
71,100,50,1,0.012883628451587461
72,50,100,1,0.012883628451587461
73,50,50,-1,0.012194207206933923
74,50,70,2,0.012469975704795338
75,50,50,-1,0.012194207206933923
76,50,70,2,0.012469975704795338
77,100,100,-1,0.014262470940894539
78,100,100,-1,0.014262470940894539
79,100,70,0,0.013435165447310292
