,A,B,C,D,E,PSO
0,20,70,0.5,0.5,0.5,0.011841338076410992
1,20,70,0.5,0.5,0.5,0.011841338076410992
2,70,70,0.1,0.3,0.6,0.013020345763672692
3,100,50,0.5,0.1,0.6,0.012828184780466356
4,70,50,0.6,0.5,0.1,0.012416998653776622
5,50,20,0.3,0.5,0.6,0.012006909023424725
6,70,20,0.5,0.6,0.3,0.011862719754998858
7,100,100,0.1,0.5,0.3,0.014198805202765473
8,50,100,0.5,0.3,0.1,0.012828184780466356
9,20,70,0.5,0.5,0.5,0.011841338076410992
10,70,20,0.5,0.6,0.3,0.011841338076410992
11,50,100,0.5,0.3,0.1,0.012937286166081367
12,100,20,0.6,0.3,0.5,0.012005812527086886
13,100,20,0.6,0.3,0.5,0.012005812527086886
14,70,70,0.1,0.3,0.6,0.012800772372020375
15,50,100,0.5,0.3,0.1,0.012828184780466356
16,70,100,0.3,0.1,0.5,0.013376432949386003
17,20,50,0.3,0.3,0.3,0.011776644792478475
18,70,100,0.3,0.1,0.5,0.013376432949386003
19,70,50,0.6,0.5,0.1,0.012416998653776622
20,20,50,0.3,0.3,0.3,0.011821601142329885
21,100,20,0.6,0.3,0.5,0.012005812527086886
22,20,70,0.5,0.5,0.5,0.01221798456845879
23,20,50,0.3,0.3,0.3,0.011785142639096729
24,100,50,0.5,0.1,0.6,0.012828184780466356
25,50,20,0.3,0.5,0.6,0.011774451799802795
26,100,70,0.3,0.6,0.1,0.01342988714585567
27,100,50,0.5,0.1,0.6,0.012828184780466356
28,70,20,0.5,0.6,0.3,0.011841338076410992
29,100,100,0.1,0.5,0.3,0.014418378594417792
30,100,70,0.3,0.6,0.1,0.013376432949386003
31,50,100,0.5,0.3,0.1,0.012913711494817822
32,70,20,0.5,0.6,0.3,0.011841338076410992
33,50,70,0.6,0.1,0.3,0.012416998653776622
34,70,20,0.5,0.6,0.3,0.011841338076410992
35,70,100,0.3,0.1,0.5,0.013376432949386003
36,20,20,0.1,0.1,0.1,0.012135473219036382
37,100,20,0.6,0.3,0.5,0.012005812527086886
38,20,20,0.1,0.1,0.1,0.011895888769218496
39,20,100,0.6,0.6,0.6,0.012005812527086886
40,70,70,0.1,0.3,0.6,0.012779390693432507
41,50,20,0.3,0.5,0.6,0.011710306764039197
42,50,50,0.1,0.6,0.5,0.012142874569316798
43,100,50,0.5,0.1,0.6,0.012828184780466356
44,50,70,0.6,0.1,0.3,0.012416998653776622
45,70,100,0.3,0.1,0.5,0.013376432949386003
46,50,50,0.1,0.6,0.5,0.012142874569316798
47,20,100,0.6,0.6,0.6,0.012005812527086886
48,20,70,0.5,0.5,0.5,0.011841338076410992
49,20,20,0.1,0.1,0.1,0.011631359027714767
50,70,70,0.1,0.3,0.6,0.012800772372020375
51,100,20,0.6,0.3,0.5,0.01198443084849902
52,20,20,0.1,0.1,0.1,0.01218618617466145
53,50,50,0.1,0.6,0.5,0.012142874569316798
54,50,70,0.6,0.1,0.3,0.012416998653776622
55,50,20,0.3,0.5,0.6,0.01175307012121493
56,50,20,0.3,0.5,0.6,0.011785142639096729
57,70,50,0.6,0.5,0.1,0.012416998653776622
58,100,70,0.3,0.6,0.1,0.013376432949386003
59,20,100,0.6,0.6,0.6,0.012005812527086886
60,70,50,0.6,0.5,0.1,0.012438380332364487
61,20,50,0.3,0.3,0.3,0.012044464022995721
62,20,100,0.6,0.6,0.6,0.012358884347871139
63,70,100,0.3,0.1,0.5,0.013376432949386003
64,20,100,0.6,0.6,0.6,0.012005812527086886
65,70,50,0.6,0.5,0.1,0.012395616975188754
66,100,70,0.3,0.6,0.1,0.013376432949386003
67,20,50,0.3,0.3,0.3,0.011731688442627062
68,20,20,0.1,0.1,0.1,0.012144793437908016
69,70,70,0.1,0.3,0.6,0.012800772372020375
70,100,100,0.1,0.5,0.3,0.014198805202765473
71,100,50,0.5,0.1,0.6,0.012849566459054223
72,50,100,0.5,0.3,0.1,0.012828184780466356
73,50,50,0.1,0.6,0.5,0.012142874569316798
74,50,70,0.6,0.1,0.3,0.012416998653776622
75,50,50,0.1,0.6,0.5,0.012142874569316798
76,50,70,0.6,0.1,0.3,0.012416998653776622
77,100,100,0.1,0.5,0.3,0.014198805202765473
78,100,100,0.1,0.5,0.3,0.014198805202765473
79,100,70,0.3,0.6,0.1,0.013376432949386003
